census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2022,35,109268,109268,Capitol Arcade 109-117 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Thai Viet,"Shop 4, 115 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,16,144.965780600956,-37.8150701808,"-37.8150701808, 144.965780600956"
2022,35,109268,109268,Capitol Arcade 109-117 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Momo station,"Shop 12, 115 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,34,144.965780600956,-37.8150701808,"-37.8150701808, 144.965780600956"
2022,35,109268,109268,Capitol Arcade 109-117 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Kim Sing Restaurant,"Shop 6A, 115 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,32,144.965780600956,-37.8150701808,"-37.8150701808, 144.965780600956"
2022,35,109268,109268,Capitol Arcade 109-117 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Momo station,"Shop 12, 115 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,18,144.965780600956,-37.8150701808,"-37.8150701808, 144.965780600956"
2022,35,109268,109268,Capitol Arcade 109-117 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Starbucks,117 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,16,144.965780600956,-37.8150701808,"-37.8150701808, 144.965780600956"
2022,35,109268,109268,Capitol Arcade 109-117 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Kim Sing Restaurant,"Shop 6A, 115 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,10,144.965780600956,-37.8150701808,"-37.8150701808, 144.965780600956"
2022,35,109270,109270,123 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Delhi Rocks,Mezz & Level 1-3 123 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,100,144.96588625732323,-37.81482929495,"-37.81482929495, 144.96588625732323"
2022,36,102148,102148,184-192 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Bistrot D'Orsay,184 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,50,144.9672766257,-37.81485204470721,"-37.81485204470721, 144.9672766257"
2022,36,102152,102152,162-168 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The George on Collins,"Shop B1, Basement 162 Collins Street MELBOURNE VIC 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,150,144.96784765085,-37.814502920035494,"-37.814502920035494, 144.96784765085"
2022,36,102152,102152,162-168 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafenatics,"Shop 8, 162 Collins Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Indoor,20,144.96784765085,-37.814502920035494,"-37.814502920035494, 144.96784765085"
2022,37,102158,102158,86-88 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Indu,86A Collins Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,144.97058439059998,-37.81393676506883,"-37.81393676506883, 144.97058439059998"
2022,37,709872,102161,74-84 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Yakimono,3 Benson Walk MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,87,144.9706863215771,-37.81363930815,"-37.81363930815, 144.9706863215771"
2022,37,709872,102161,74-84 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Yakimono,3 Benson Walk MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,252,144.9706863215771,-37.81363930815,"-37.81363930815, 144.9706863215771"
